notation,prefLabel@de,altLabel@de,definition@de,Verwendungshinweis,broader
B51DAF,Objektkennzeichnung,Objektidentifikation,"Übergeordneter Begriff zur eindeutigen Kennzeichnung des zu behandelnden Objektes sowie Erfassung weiterer indentifizierender Merkmale, die eine zweifelsfreie Zuordnung des Objektes während des gesamten Behandlungsprozesses gewährleistet.",,top
B5DD1A,Objektbenennung,Objekttitel| Objektname| Objektansprache,"Benennung des konkreten Objektes. Kann sich aus einem offiziellen Titel oder aus Objekttyp und beschreibenden Attributen zusammensetzen.

Beispiel: ""Mona-Lisa"", ""rotfiguriger Krater""",,B51DAF
F7D3DB,Kennzeichnungsnummer,"Inventarnummer, Objektnummer, Signatur, Katalognummer","Nummer, die das Objekt eindeutig identifiziert. Dies sollte im Idealfall eine Inventarnummer sein. Da in der Realität nicht alle Objekte eine Inventarnummer haben, sind auch andere Arten von Nummern möglich, die das Objekt eindeutig referenzierbar machen.

Beispiel: ""O.3649"", ""2025-05-21""",,B51DAF
G59SR3,Art der Kennzeichnungsnummer,Kennzeichnungsnummerntyp,"Angabe, um was für eine Art von Nummer es sich bei der Kennzeichnungsnummer handelt. Ob es sich um eine feste Inventarnummer handelt oder eine temporäre Nummer (z.B. Fundnummer), o.Ä.",,F7D3DB
K343FVC,Weitere Objektnummern,Alternative Nummern,"Weitere Nummern, die in der Vergangenheit dem Objekt zugeordnet wurden und erfasst werden sollen.",,B51DAF
LGPT6AC,Art der weiteren Objektnummer,,"Angabe, um was für eine Art von weitere Objektnummer es sich handelt. 

z.B. frühere Inventarnummer, temporäre Nummer, etc.",,K343FVC
F9GB13,Datierung,Objektdatierung| zeitliche Einordnung,"zeitliche Einordnung des Objektes.

Beispiel: ""Urnenfelderzeit"" , ""15. Jh.""",,B51DAF
CD3341,Herkunft,Fundort|kulturelle Verortung|Herstellungsort,"Sammelbegriff für Angaben zur räumlichen oder kulturellen Verortung eines Objektes, die dessen Entstehungs- oder Auffindungskontext beschreiben. Soll als Einordnung von Objekten in ihren historischen, geografischen und kulturellen Zusammhang dienen. Die Angaben können dabei exakte Ortsangaben als auch größere geografische oder kulturelle Räume sein, je nach Überliefungslage bzw. Erkenntnisstand. 

Beispiel: ""Fundort: Italien - Numana - Grab 34"", ""kultureller Kontext: Renaissance""",,B51DAF
F2A45F,Eingangsdatum,,"Datum, an dem das Objekt in die aktuell zuständige Sammlung aufgenommen wurde. An dieser Stelle ist (noch) nicht das Datum, an dem das Objekt in die Restaurierungseinrichtung eingeliefert wurde gemeint.",Das Datum sollte nach Möglichkeit gemäß ISO 8601 in der Form YYYY-MM-DD erfasst werden.,B51DAF
FC3322,Standort,,"Angabe des regelhaften Aufbewahrungsort des Objekts, außerhalb der Restaurierungseinrichtung.","Bei diesem Feld muss zwischen der internen Erfassung des genauen Standorts und der allgemeinen Standortangabe für die Veröffentlichung des Datensatzes unterschieden werden. Der genaue Standort dient der internen Dokumentation und kann bei Bedarf vertraulich behandelt werden. Für veröffentlichte Datensätze sollte nur der übergeordnete Standort (z. B. Einrichtung,  Ausstellung, Depot) angegeben werden.",B51DAF
